package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
io.github.daiji256.showcase.core.ui.component.NavigateUpButton,NavigateUpButton,1,1,1,0,0,0,0,0,1,1,
io.github.daiji256.showcase.core.ui.component.NavigateUpButtonPreview,NavigateUpButtonPreview,1,1,1,0,0,0,0,0,1,1,
io.github.daiji256.showcase.core.ui.document.Document,Document,1,1,1,0,0,0,0,0,1,2,
io.github.daiji256.showcase.core.ui.document.Document,Document,1,1,1,0,0,0,0,0,1,5,
io.github.daiji256.showcase.core.ui.document.DocumentMarkdownPreview,DocumentMarkdownPreview,1,1,1,0,0,0,0,0,1,1,
io.github.daiji256.showcase.core.ui.document.DocumentContentPreview,DocumentContentPreview,1,1,1,0,0,0,0,0,1,1,
io.github.daiji256.showcase.core.ui.feature.FeatureSummary.<get-title>,<get-title>,1,0,0,0,0,0,0,0,0,0,
io.github.daiji256.showcase.core.ui.markdown.Markdown,Markdown,1,1,1,0,0,0,1,0,2,3,
io.github.daiji256.showcase.core.ui.markdown.CodeBlock,CodeBlock,1,1,1,0,0,0,0,0,1,2,
io.github.daiji256.showcase.core.ui.markdown.MarkdownStyle.Companion.<get-Default>,<get-Default>,1,0,0,0,0,0,0,0,1,2,
io.github.daiji256.showcase.core.ui.markdown.CodeBlockStyle.Companion.<get-Default>,<get-Default>,1,0,0,0,0,0,0,0,1,1,
io.github.daiji256.showcase.core.ui.markdown.MarkdownPreview,MarkdownPreview,1,1,1,0,0,0,0,0,1,1,
io.github.daiji256.showcase.core.ui.navigation.rememberNavState,rememberNavState,1,0,0,0,0,0,0,0,1,2,
io.github.daiji256.showcase.core.ui.navigation.toDecoratedNavEntries,toDecoratedNavEntries,1,0,0,0,0,0,0,0,1,1,
io.github.daiji256.showcase.core.ui.showcase.ShowcaseScreen,ShowcaseScreen,1,1,1,0,0,0,0,0,1,2,
io.github.daiji256.showcase.core.ui.showcase.ShowcaseScreen,ShowcaseScreen,1,1,1,0,0,0,0,0,1,3,
io.github.daiji256.showcase.core.ui.showcase.FeatureItem,FeatureItem,1,1,1,0,0,0,0,0,1,2,
io.github.daiji256.showcase.core.ui.showcase.ComposableSingletons$ShowcaseScreenKt.lambda$-879437203.<anonymous>.<anonymous>.<anonymous>.<no name provided>.<get-title>,<get-title>,1,0,0,0,0,0,0,0,1,0,
io.github.daiji256.showcase.core.ui.showcase.ShowcaseScreenPreview,ShowcaseScreenPreview,1,1,1,0,0,0,0,0,1,1,
